Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0805,3,100n,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D7, D8, D9",D_DO-35_SOD27_SOD123_P7.62mm_Horizontal,62,1N4148,
D63,LED_D3.0mm_Clear,1,ㄅ,
D64,LED_D3.0mm_Clear,1,ENG,
J1,PinHeader_1x07_P2.54mm_Horizontal,1,Conn_01x07,
"R1, R2",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal_0805,2,R_US,
"RN1, RN2",R_Array_Convex_4x0603,2,10K,
SW1,SW_Push_1P1T_NO_CK_KSC7xxJ,1,1!ㄅ,
SW10,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Eㄍ,
SW11,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Dㄎ,
SW12,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Cㄏ,
SW13,SW_Push_1P1T_NO_CK_KSC7xxJ,1,4$ˋ,
SW14,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Rㄐ,
SW15,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Fㄑ,
SW16,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Vㄒ,
SW17,SW_Push_1P1T_NO_CK_KSC7xxJ,1,5%ㄓ,
SW18,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Tㄔ,
SW19,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Gㄕ,
SW2,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Qㄆ,
SW20,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Bㄖ,
SW21,SW_Push_1P1T_NO_CK_KSC7xxJ,1,6^ˊ,
SW22,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Yㄗ,
SW23,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Hㄘ,
SW24,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Nㄙ,
SW25,SW_Push_1P1T_NO_CK_KSC7xxJ,1,7&˙,
SW26,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Uㄧ,
SW27,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Jㄨ,
SW28,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Mㄩ,
SW29,SW_Push_1P1T_NO_CK_KSC7xxJ,1,8*ㄚ,
SW3,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Aㄇ,
SW30,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Iㄛ,
SW31,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Kㄜ,
SW32,SW_Push_1P1T_NO_CK_KSC7xxJ,1,",<ㄝ",
SW33,SW_Push_1P1T_NO_CK_KSC7xxJ,1,9(ㄞ,
SW34,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Oㄟ,
SW35,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Lㄠ,
SW36,SW_Push_1P1T_NO_CK_KSC7xxJ,1,.>ㄡ,
SW37,SW_Push_1P1T_NO_CK_KSC7xxJ,1,0)ㄢ,
SW38,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Pㄣ,
SW39,SW_Push_1P1T_NO_CK_KSC7xxJ,1,;:ㄤ,
SW4,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Zㄈ,
SW40,SW_Push_1P1T_NO_CK_KSC7xxJ,1,/?ㄥ,
SW41,SW_Push_1P1T_NO_CK_KSC7xxJ,1,-_ㄦ,
SW42,SW_Push_1P1T_NO_CK_KSC7xxJ,1,[{,
SW43,SW_Push_1P1T_NO_CK_KSC7xxJ,1,"'""",
SW44,SW_Push_1P1T_NO_CK_KSC7xxJ,1,SHIFT,
SW45,SW_Push_1P1T_NO_CK_KSC7xxJ,1,=+,
SW46,SW_Push_1P1T_NO_CK_KSC7xxJ,1,]},
SW47,SW_Push_1P1T_NO_CK_KSC7xxJ,1,ENTER,
SW48,SW_Push_1P1T_NO_CK_KSC7xxJ,1,SPACE,
SW49,SW_Push_1P1T_NO_CK_KSC7xxJ,1,`~,
SW5,SW_Push_1P1T_NO_CK_KSC7xxJ,1,2@ㄉ,
SW50,SW_Push_1P1T_NO_CK_KSC7xxJ,1,TAB,
SW51,SW_Push_1P1T_NO_CK_KSC7xxJ,1,CAPS,
SW52,SW_Push_1P1T_NO_CK_KSC7xxJ,1,CTRL,
SW53,SW_Push_1P1T_NO_CK_KSC7xxJ,1,ALT,
SW54,SW_Push_1P1T_NO_CK_KSC7xxJ,1,BACK,
SW55,SW_Push_1P1T_NO_CK_KSC7xxJ,1,\|,
SW56,SW_Push_1P1T_NO_CK_KSC7xxJ,1,PGUP,
SW57,SW_Push_1P1T_NO_CK_KSC7xxJ,1,PGDN,
SW58,SW_Push_1P1T_NO_CK_KSC7xxJ,1,UP,
SW59,SW_Push_1P1T_NO_CK_KSC7xxJ,1,DOWN,
SW6,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Wㄊ,
SW60,SW_Push_1P1T_NO_CK_KSC7xxJ,1,LEFT,
SW61,SW_Push_1P1T_NO_CK_KSC7xxJ,1,RGHT,
SW62,SW_Push_1P1T_NO_CK_KSC7xxJ,1,ESC,
SW7,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Sㄋ,
SW8,SW_Push_1P1T_NO_CK_KSC7xxJ,1,Xㄌ,
SW9,SW_Push_1P1T_NO_CK_KSC7xxJ,1,3#ˇ,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC595,
U2,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC165,
U3,SO-14_3.9x8.65mm_P1.27mm,1,74HCT74,
